Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
0,"Q Jossen","Unsupervised learning procedure for nonintrusive appliance load monitoring",2013,"","difusion.ulb.ac.be","https://difusion.ulb.ac.be/vufind/Record/ULB-DIPOT:oai:dipot.ulb.ac.be:2013/209369/TOC","",107,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,1,7
42,"S Pattem","Unsupervised disaggregation for non-intrusive load monitoring",2012,"2012 11th International Conference on Machine …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6406788/","https://scholar.google.com/scholar?cites=490858933029621254&as_sdt=2005&sciodt=0,5&hl=en",24,"2020-01-11 17:36:20","","","","",,,,,42,5.25,42,1,8
10,"F Jazizadeh, B Becerik-Gerber, M Berges, ...","Unsupervised clustering of residential electricity consumption measurements for facilitated user-centric non-intrusive load monitoring",2014,"Computing in Civil …","ascelibrary.org","https://ascelibrary.org/doi/abs/10.1061/9780784413616.232","https://scholar.google.com/scholar?cites=13611431913197031072&as_sdt=2005&sciodt=0,5&hl=en",105,"2020-01-11 17:36:20","","","","",,,,,10,1.67,3,4,6
78,"R Bonfigli, S Squartini, M Fagiani, ...","Unsupervised algorithms for non-intrusive load monitoring: An up-to-date overview",2015,"2015 IEEE 15th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7165334/","https://scholar.google.com/scholar?cites=2751709663468621245&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-01-11 17:36:20","","","","",,,,,78,15.60,20,4,5
9,"PA Chou, RI Chang","Unsupervised adaptive non-intrusive load monitoring system",2013,"2013 IEEE International Conference on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/6722295/","https://scholar.google.com/scholar?cites=681671113422655072&as_sdt=2005&sciodt=0,5&hl=en",100,"2020-01-11 17:36:20","","","","",,,,,9,1.29,5,2,7
0,"A Rodriguez-Silva, S Makonin","Universal Non-Intrusive Load Monitoring (NILM) Using Filter Pipelines, Probabilistic Knapsack, and Labelled Partition Maps",2019,"arXiv preprint arXiv:1907.06299","arxiv.org","https://arxiv.org/abs/1907.06299","",417,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,2,1
0,"A Wójcik, W Winiecki","Transient state features selection method in the non-intrusive load monitoring",2018,"Photonics Applications in Astronomy …","spiedigitallibrary.org","https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10808/108085Y/Transient-state-features-selection-method-in-the-non-intrusive-load/10.1117/12.2501509.short","",366,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,2,2
147,"SB Leeb, JL Kirtley Jr","Transient event detector for use in nonintrusive load monitoring systems",1996,"US Patent 5,483,153","Google Patents","https://patents.google.com/patent/US5483153A/en","https://scholar.google.com/scholar?cites=17617870142383153043&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-01-11 17:36:20","","","","",,,,,147,6.13,74,2,24
329,"SB Leeb, SR Shaw, JL Kirtley","Transient event detection in spectral envelope estimates for nonintrusive load monitoring",1995,"IEEE Transactions on Power …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/400897/","https://scholar.google.com/scholar?cites=1181624243234204126&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-01-11 17:36:20","","","","",,,,,329,13.16,110,3,25
82,"R Cox, SB Leeb, SR Shaw, ...","Transient event detection for nonintrusive load monitoring and demand side management using voltage distortion",2006,"Twenty-First Annual IEEE …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/1620777/","https://scholar.google.com/scholar?cites=5927816010545295229&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-01-11 17:36:20","","","","",,,,,82,5.86,21,4,14
25,"L Niu, H Jia","Transient event detection algorithm for non-intrusive load monitoring",2011,"Dianli Xitong Zidonghua(Automation of Electric Power …","en.cnki.com.cn","http://en.cnki.com.cn/Article_en/CJFDTotal-DLXT201109007.htm","https://scholar.google.com/scholar?cites=10247201026234462129&as_sdt=2005&sciodt=0,5&hl=en",49,"2020-01-11 17:36:20","","","","",,,,,25,2.78,13,2,9
5,"SD Lai, S Giri","Transient Normalization for Appliance Classification, Disaggregation, and Power Estimation in Non-Intrusive Load Monitoring",2014,"US Patent App. 14/097,011","Google Patents","https://patents.google.com/patent/US20140207398A1/en","https://scholar.google.com/scholar?cites=14893752923151072011&as_sdt=2005&sciodt=0,5&hl=en",167,"2020-01-11 17:36:20","","","","",,,,,5,0.83,3,2,6
2,"M DIncecco, S Squartini, M Zhong","Transfer Learning for Non-Intrusive Load Monitoring",2019,"arXiv preprint arXiv:1902.08835","arxiv.org","https://arxiv.org/abs/1902.08835","https://scholar.google.com/scholar?cites=13714493224196264153&as_sdt=2005&sciodt=0,5&hl=en",352,"2020-01-11 17:36:20","","","","",,,,,2,2.00,1,3,1
25,"Z Zhang, JH Son, Y Li, M Trayer, Z Pi, ...","Training-free non-intrusive load monitoring of electric vehicle charging with low sampling rate",2014,"IECON 2014-40th …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7049328/","https://scholar.google.com/scholar?cites=16127331483119851171&as_sdt=2005&sciodt=0,5&hl=en",62,"2020-01-11 17:36:20","","","","",,,,,25,4.17,4,6,6
0,"S Nahar, SM Anjum","Training free non-intrusive load monitoring of electronic appliances battery charging with low sampling rate",2016,"","dspace.bracu.ac.bd","http://dspace.bracu.ac.bd/xmlui/handle/10361/5305","",430,"2020-01-11 17:36:20","","","","",,,,,0,0.00,0,2,4
2,"Y Li, M Trayer, S Ramakrishna, ...","Training Schemes in Non-Intrusive Load Monitoring",2012,"… -Intrusive Load Monitoring …","nilmworkshop.org","http://nilmworkshop.org/2012/posters/lai_Samsung_NILM2012_poster.pdf","https://scholar.google.com/scholar?cites=4086381469533678750&as_sdt=2005&sciodt=0,5&hl=en",221,"2020-01-11 17:36:20","","","","",,,,,2,0.25,1,4,8
2,"HH Ming","Tracing of Lighting Electricity Consumption Using Non-Intrusive Load Monitoring Method",2013,"","Faculty of Electrical Engineering …","","https://scholar.google.com/scholar?cites=17747049738176859139&as_sdt=2005&sciodt=0,5&hl=en",455,"2020-01-11 17:36:20","CITATION","","","",,,,,2,0.29,2,1,7
